category,short_description
POLITICS,and he managed to blame everyone but michigans republican governor
POLITICS,its a bleak possibility for the nottoodistant future
SPORTS,the star fighter extended her jawdropping record with a knockout right punch ending the fight in the first round
POLITICS,the presidentelects characterization of the area in and around atlanta was not very accurate
POLITICS,the toughest guy in park city this weekend was anthony scaramucci a top donald trump fundraiser and his emissary to the
POLITICS,sen john hoeven blamed the president for increasingly violent clashes
SPORTS,the battle is far from over and tides may be shifting towards students
SPORTS,the tommy john epidemic
POLITICS,the fahrenheit 119 director also said americans should expect the evil genius to be reelected in 2020
SPORTS,the convoluted 2014 edition of the contest was broken into two segments and reframed as a competition between conferences
POLITICS,to place him next to the brave men and women the department has honored in the past is the height of hypocrisy and an affront to this countrys working people
POLITICS,the california senator made a powerful plea after the florida school shooting
POLITICS,he didnt win any delegates tuesday night
SPORTS,no you werent chopping onions while watching this
SPORTS,cops had arrived to break up a bar brawl reportedly involving the player
POLITICS,hr mcmaster said that what the president shared was wholly appropriate
POLITICS,west virginia state senate candidate richard ojeda was brutally beaten during a cookout sunday  just two days before his
SPORTS,list of sources consulted nflcoms preseason top 200 player rankings fantasy sharks top 200 via usa today fox sports
SPORTS,namath has said his interest in neurological research was sparked by the suicide of exnfl star junior seau
SPORTS,an olympic roller coaster ride
POLITICS,this budget will be a public safety and national security budget
SPORTS,super bowl 50 was lowscoring but if you spent most of your night watching these sixsecond vines it wasnt so bad
SPORTS,it is difficult to imagine two more brilliant and exciting quarterbacks than russell wilson seattle seahawks and colin kaepernick san francisco 49ers or two more effortlessly perfect passers and playcallers than tom brady new england patriots and peyton manning denver broncos
SPORTS,viewers were obsessed with the tennis legends answer on how she deals with pressure from the media
POLITICS,visa and fedex are two bigname companies with ties to the divisive group
SPORTS,the team announced tuesday that geno smith would replace the star quarterback
POLITICS,emanuel and cuomo are progractionaries theyre reliably left on social issues and reliably right on economic issues like tax policy unions and corporate giveaways
POLITICS,secretary hogan brings a level of understanding experience and leadership we just dont see often running for office hes given us a rare opportunity to bring about the politics and leadership we always seem to ask for but never get  until now
SPORTS,nothing good for number 27 will come out of this proceeding on the other hand for those men and women who are victims of domestic violence the public attention focused by the rice proceeding might make more people aware of this societal scourge
SPORTS,what is a dj to do
POLITICS,office rent soared in july after trumps campaign began accepting donor contributions
